Number of Matrix	Parallel TSP cost	Parallel cycle
0	1902	4 42 61 22 91 83 54 26 46 89 73 0 67 50 37 44 81 16 86 25 38 96 78 92 51 79 2 28 13 64 60 17 74 14 62 34 8 71 36 21 47 15 94 39 70 31 20 29 77 95 10 66 76 90 12 35 87 80 3 49 68 56 58 48 97 53 52 30 9 88 93 27 7 19 63 23 55 65 24 59 41 57 6 72 1 32 5 18 33 43 84 69 82 11 40 45 85 98 75 
1	1642	0 98 23 82 24 54 66 29 6 64 58 28 37 85 31 96 92 67 78 11 18 87 62 10 32 59 86 81 33 4 20 93 21 83 70 69 56 51 3 34 79 25 7 43 49 84 77 91 2 46 48 95 35 97 57 38 26 36 41 42 80 19 1 22 39 16 8 72 14 15 60 68 47 12 40 71 13 53 50 76 45 17 65 73 55 94 5 44 90 63 89 61 74 30 9 52 27 75 88 
2	1562	2 60 68 53 66 36 97 30 37 82 57 88 44 46 42 12 24 4 61 18 43 76 80 29 69 65 33 28 83 15 26 84 1 47 34 23 5 92 55 73 72 87 0 38 40 89 21 6 90 19 58 14 75 25 59 32 41 16 31 9 17 94 39 8 48 78 13 98 91 52 27 86 49 45 62 7 63 64 71 81 20 95 67 50 51 54 35 3 56 93 77 96 11 85 74 10 79 22 70 
3	1485	0 70 95 52 97 30 96 19 41 90 76 39 50 54 37 85 23 61 48 16 38 42 5 73 40 36 31 34 33 7 91 29 47 10 74 93 27 81 25 75 79 6 3 35 94 21 43 83 59 65 80 72 14 11 58 17 12 8 4 45 78 89 18 67 2 26 44 49 51 77 60 32 55 28 13 56 15 46 68 63 64 57 9 20 24 86 82 1 98 62 66 87 71 69 84 53 22 88 92 
4	1521	0 19 94 83 51 49 90 50 92 42 64 15 78 79 40 68 35 22 80 81 66 45 65 44 74 88 82 33 57 18 85 55 76 96 75 36 73 34 47 60 28 25 16 72 58 13 84 37 9 5 21 4 62 53 27 71 43 52 95 10 29 87 23 39 56 46 59 41 14 63 48 7 54 24 3 61 26 89 32 11 12 20 17 91 1 77 69 67 31 97 30 70 8 38 93 2 6 86 98 
5	1322	3 65 71 17 11 22 10 26 88 82 16 95 52 23 77 86 34 66 5 67 81 94 93 54 53 41 49 4 12 63 13 27 84 15 92 9 57 21 1 31 56 24 32 14 60 2 72 50 48 19 78 28 8 70 43 44 89 33 69 91 85 7 51 97 61 38 20 35 58 64 0 29 30 80 40 59 36 79 18 74 75 96 83 39 25 42 37 76 73 98 47 62 55 68 90 6 46 87 45 
6	1851	0 21 67 17 91 18 86 81 88 19 20 11 33 31 23 92 71 75 1 27 94 96 5 66 85 89 12 57 83 9 77 60 65 80 34 68 10 53 72 16 32 97 41 55 69 7 15 47 93 90 36 63 46 73 98 51 70 76 64 25 30 3 61 62 82 52 79 14 49 84 29 38 43 24 40 4 39 95 35 50 56 87 8 44 74 54 28 58 42 2 13 22 78 37 48 26 59 6 45 
7	1437	0 8 55 70 47 82 4 18 93 89 76 73 84 46 21 65 10 26 57 2 88 7 78 67 45 59 33 34 29 16 77 91 80 92 9 69 1 3 13 5 49 50 38 62 60 52 72 14 61 66 58 51 17 54 28 20 12 32 98 68 95 35 15 37 41 48 30 79 19 96 53 86 27 71 87 83 24 44 36 25 90 23 6 56 22 75 39 85 64 74 40 94 31 42 43 97 81 63 11 
8	1620	0 21 88 56 41 71 77 39 19 25 75 53 85 36 70 96 58 10 76 6 90 32 12 91 49 87 74 15 30 66 3 92 78 84 8 42 22 38 82 93 80 64 68 81 97 86 46 7 67 28 17 50 43 51 94 61 83 54 13 33 1 59 95 65 60 72 62 24 44 9 55 14 29 52 40 69 79 5 4 47 20 34 2 11 57 26 37 35 89 16 45 18 98 63 73 48 31 27 23 
9	1576	0 91 74 69 24 81 45 77 82 95 14 29 25 8 92 37 40 35 36 12 20 26 54 63 88 94 62 86 5 21 73 31 42 85 6 96 9 15 27 1 55 71 84 76 58 68 33 80 7 22 16 30 64 48 87 47 93 44 34 56 98 2 41 39 66 90 89 4 53 65 18 67 51 57 17 97 83 43 49 46 79 59 11 23 50 28 72 13 78 10 60 52 70 61 38 3 32 75 19 
